MUTATION,SCORE
AA,1.0
AC,-0.168
AD,0.029
AE,-0.033
AF,0.064
AG,-0.023
AH,0.014
AI,0.068
AK,0.031
AL,0.14
AM,-0.562
AN,0.131
AP,0.02
AQ,0.051
AR,0.143
AS,0.249
AT,0.248
AV,0.232
AW,-0.234
AY,0.011
CA,-0.168
CC,1.0
CD,-0.406
CE,-0.672
CF,-0.082
CG,-0.257
CH,-0.22
CI,-0.159
CK,-0.527
CL,-0.085
CM,-0.787
CN,-0.298
CP,-0.298
CQ,-0.449
CR,-0.392
CS,-0.147
CT,-0.156
CV,-0.091
CW,-0.464
CY,-0.199
DA,0.029
DC,-0.406
DD,1.0
DE,0.109
DF,-0.227
DG,-0.034
DH,-0.003
DI,-0.336
DK,0.036
DL,-0.314
DM,-0.839
DN,0.329
DP,0.005
DQ,0.0676
DR,0.026
DS,0.215
DT,0.105
DV,-0.182
DW,-0.446
DY,-0.203
EA,-0.033
EC,-0.672
ED,0.109
EE,1.0
EF,-0.432
EG,-0.299
EH,-0.284
EI,-0.465
EK,0.224
EL,-0.432
EM,-0.877
EN,-0.01
EP,-0.218
EQ,0.183
ER,0.09
ES,-0.064
ET,-0.145
EV,-0.317
EW,-0.461
EY,-0.352
FA,0.064
FC,-0.082
FD,-0.227
FE,-0.432
FF,1.0
FG,-0.097
FH,-0.016
FI,0.38
FK,-0.277
FL,0.367
FM,-0.529
FN,-0.073
FP,-0.067
FQ,-0.217
FR,-0.113
FS,0.143
FT,0.148
FV,0.345
FW,0.021
FY,0.352
GA,-0.023
GC,-0.257
GD,-0.034
GE,-0.299
GF,-0.097
GG,1.0
GH,-0.118
GI,-0.256
GK,-0.239
GL,-0.205
GM,-0.806
GN,0.044
GP,0.044
GQ,-0.176
GR,-0.119
GS,0.12
GT,-0.039
GV,-0.08
GW,-0.375
GY,-0.178
HA,0.014
HC,-0.22
HD,-0.003
HE,-0.284
HF,-0.016
HG,-0.118
HH,1.0
HI,-0.13
HK,-0.111
HL,-0.087
HM,-0.785
HN,0.167
HP,-0.031
HQ,0.0252
HR,0.084
HS,0.148
HT,0.103
HV,-0.055
HW,-0.262
HY,0.073
IA,0.068
IC,-0.159
ID,-0.336
IE,-0.465
IF,0.38
IG,-0.256
IH,-0.13
II,1.0
IK,-0.25
IL,0.486
IM,-0.452
IN,-0.124
IP,-0.187
IQ,-0.259
IR,-0.139
IS,-0.026
IT,0.129
IV,0.494
IW,-0.021
IY,0.237
KA,0.031
KC,-0.527
KD,0.036
KE,0.224
KF,-0.277
KG,-0.239
KH,-0.111
KI,-0.25
KK,1.0
KL,-0.236
KM,-0.712
KN,0.197
KP,-0.171
KQ,0.287
KR,0.387
KS,0.028
KT,-0.01
KV,-0.167
KW,-0.364
KY,-0.203
LA,0.14
LC,-0.085
LD,-0.314
LE,-0.432
LF,0.367
LG,-0.205
LH,-0.087
LI,0.486
LK,-0.236
LL,1.0
LM,-0.389
LN,-0.123
LP,-0.159
LQ,-0.18
LR,-0.09
LS,0.015
LT,0.092
LV,0.365
LW,0.002
LY,0.189
MA,-0.562
MC,-0.787
MD,-0.839
ME,-0.877
MF,-0.529
MG,-0.806
MH,-0.785
MI,-0.452
MK,-0.712
ML,-0.389
MM,1.0
MN,-0.682
MP,-0.767
MQ,-0.742
MR,-0.681
MS,-0.61
MT,-0.548
MV,-0.514
MW,-0.717
MY,-0.644
NA,0.132
NC,-0.298
ND,0.329
NE,-0.01
NF,-0.073
NG,0.044
NH,0.167
NI,-0.124
NK,0.197
NL,-0.123
NM,-0.682
NN,1.0
NP,0.063
NQ,0.161
NR,0.183
NS,0.271
NT,0.241
NV,-0.055
NW,-0.309
NY,-0.045
PA,0.02
PC,-0.298
PD,0.005
PE,-0.218
PF,-0.067
PG,0.044
PH,-0.031
PI,-0.187
PK,-0.171
PL,-0.159
PM,-0.767
PN,0.063
PP,1.0
PQ,-0.083
PR,-0.052
PS,0.194
PT,0.14
PV,-0.034
PW,-0.354
PY,-0.119
QA,0.051
QC,-0.449
QD,0.068
QE,0.183
QF,-0.217
QG,-0.176
QH,0.025
QI,-0.259
QK,0.287
QL,-0.18
QM,-0.742
QN,0.161
QP,-0.083
QQ,1.0
QR,0.375
QS,0.085
QT,-0.002
QV,-0.143
QW,-0.251
QY,-0.112
RA,0.143
RC,-0.392
RD,0.026
RE,0.09
RF,-0.113
RG,-0.119
RH,0.084
RI,-0.139
RK,0.387
RL,-0.09
RM,-0.681
RN,0.183
RP,-0.052
RQ,0.375
RR,1.0
RS,0.127
RT,0.062
RV,-0.037
RW,-0.168
RY,0.003
SA,0.249
SC,-0.147
SD,0.215
SE,-0.064
SF,0.143
SG,0.12
SH,0.148
SI,-0.026
SK,0.028
SL,0.015
SM,-0.61
SN,0.271
SP,0.194
SQ,0.085
SR,0.127
SS,1.0
ST,0.455
SV,0.129
SW,-0.249
SY,0.052
TA,0.248
TC,-0.156
TD,0.105
TE,-0.145
TF,0.148
TG,-0.039
TH,0.103
TI,0.129
TK,-0.01
TL,0.092
TM,-0.548
TN,0.241
TP,0.14
TQ,-0.002
TR,0.062
TS,0.455
TT,1.0
TV,0.247
TW,-0.209
TY,0.087
VA,0.232
VC,-0.091
VD,-0.182
VE,-0.317
VF,0.345
VG,-0.08
VH,-0.055
VI,0.494
VK,-0.167
VL,0.365
VM,-0.514
VN,-0.055
VP,-0.034
VQ,-0.143
VR,-0.037
VS,0.129
VT,0.247
VV,1.0
VW,-0.015
VY,0.246
WA,-0.234
WC,-0.464
WD,-0.446
WE,-0.461
WF,0.021
WG,-0.375
WH,-0.262
WI,-0.021
WK,-0.364
WL,0.002
WM,-0.717
WN,-0.309
WP,-0.354
WQ,-0.251
WR,-0.168
WS,-0.249
WT,-0.209
WV,-0.015
WW,1.0
WY,0.08
YA,0.011
YC,-0.199
YD,-0.203
YE,-0.352
YF,0.352
YG,-0.178
YH,0.073
YI,0.237
YK,-0.203
YL,0.189
YM,-0.644
YN,-0.045
YP,-0.119
YQ,-0.112
YR,0.003
YS,0.052
YT,0.087
YV,0.246
YW,0.08
YY,1.0
